1961,15
1866,2
1590,1
1831,3
1986,129
1867,2
1832,1
2009,3616
1859,2
1863,6
1960,16
1962,12
1875,1
1944,1
1921,9
1937,11
1945,8
1838,2
1847,3
1841,1
1860,2
1766,1
1973,31
1992,245
1853,1
1890,3
1933,6
1789,1
2001,1355
1940,2
1882,3
1979,79
1907,7
1964,17
2103,1
1943,5
1818,1
1952,9
1851,5
1925,6
1922,8
1900,5
1821,3
2016,2398
1823,1
2008,2958
2015,5446
1791,1
1849,1
1976,43
1930,5
1916,3
1826,2
1928,11
1850,3
1888,3
1903,1
1904,2
1920,7
1942,3
1636,1
1929,3
1895,4
2013,7385
1927,9
2011,5887
1956,13
1858,1
2006,2470
1981,70
1898,7
1886,3
1915,2
1931,6
1848,2
1836,3
1881,4
1949,14
1872,2
1978,45
1905,5
1984,144
1839,3
1908,5
1868,2
1982,82
1970,22
1842,1
1917,1
1932,5
1690,1
1934,6
1804,1
1870,4
1989,195
1793,1
1835,1
1856,3
1897,4
1994,350
1947,16
1583,1
1879,3
1820,2
1974,34
1889,5
1910,5
1869,5
1880,2
1837,2
1871,2
2002,1293
1899,4
1891,5
1951,10
1884,5
1939,4
1919,12
1957,9
2004,1660
1887,7
1975,36
1862,2
1874,1
1946,12
1914,2
1883,3
1938,3
1968,29
1977,42
1785,1
1965,18
1988,143
1941,6
1948,15
1864,2
1912,9
1885,5
1749,1
1969,36
2007,2913
1983,119
1781,1
1955,11
1998,1211
1953,7
1959,14
1972,41
1913,2
1495,1
2005,1992
1918,2
1993,313
1966,14
1954,10
1816,2
2017,346
1997,885
2014,7149
1971,32
1857,2
1876,2
1909,3
2003,1490
1902,10
1967,27
1980,78
1795,2
1894,4
2012,7006
1999,2129
1764,1
1813,1
1911,6
1923,6
1996,791
1865,7
1991,218
1843,2
1861,2
1873,4
2010,4630
1906,7
1647,1
1995,507
2000,1968
1935,4
1819,2
1807,1
1846,1
1854,3
1787,2
1926,6
1896,4
1845,1
1834,1
1892,7
1936,2
1987,158
1592,1
1990,200
1878,2
1901,2
1893,2
1802,1
1963,17
1924,11
1815,1
1958,9
1817,1
1855,2
1950,11
1985,136
